OID_;admin4Name_en;admin4Name_ua;admin4Pcode;admin4RefName;admin3Name_en;admin3Name_ua;admin2Name_en;admin2Name_ua;admin1Name_en;admin1Name_ua;admin0Name_en;admin0Name_ua;date;validOn;admin4ClassType;admin4pcode2016;POINT_X;POINT_Y;osm_id;fclass;population
127;Bilytske;Білицьке;UA1411570300;Bilytske;Bilytska;Білицька;Dobropilska;Добропільська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1411570300;37,183083959999998;48,406655309999998;256613820;town;8768
128;Rodynske;Родинське;UA1413270600;Rodynske;Rodynska;Родинська;Pokrovska;Покровська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1413270600;37,208707609999998;48,353845499999998;256613914;town;11996
129;Selydove;Селидове;UA1413800000;Selydove;Selydivska;Селидівська;Selydivska;Селидівська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1413800000;37,298992400000003;48,147170629999998;256613994;town;24366
130;Kalmiuske;Кальміуське;UA1424510400;Kalmiuske;Komsomolska;Комсомольська;Starobeshivskyi;Старобешівський;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1424510400;38,073423089999999;47,662802460000002;256618288;town;11909
131;Horishni Plavni;Горішні Плавні;UA5310200000;Horishni Plavni;Komsomolska;Комсомольська;Komsomolska;Комсомольська;Poltavska;Полтавська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5310200000;33,648147420000001;49,032759960000000;337575116;town;51800
132;Bilozerske;Білозерське;UA1411570500;Bilozerske;Bilozerska;Білозерська;Dobropilska;Добропільська;Donetska;Донецька;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;1411570500;37,057172410000000;48,533005220000000;256613830;town;16251
133;Ternopil;Тернопіль;UA6110100000;Ternopil;Ternopilska;Тернопільська;Ternopilska;Тернопільська;Ternopilska;Тернопільська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;6110100000;25,598103770000002;49,555393530000003;1643945522;town;217326
134;Liuboml;Любомль;UA0723310100;Liuboml;Liubomlska;Любомльська;Liubomlskyi;Любомльський;Volynska;Волинська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;0723310100;24,035145279999998;51,228470229999999;260342645;town;10129
135;Chyhyryn;Чигирин;UA7125410100;Chyhyryn;Chyhyrynska;Чигиринська;Chyhyrynskyi;Чигиринський;Cherkaska;Черкаська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;7125410100;32,676337770000004;49,069816439999997;337573288;town;14440
136;Kremenchuk;Кременчук;UA5310400000;Kremenchuk;Kremenchutska;Кременчуцька;Kremenchutska;Кременчуцька;Poltavska;Полтавська;Ukraine;Україна;02.10.2017 0:00:00;21.12.2017 0:00:00;міста;5310400000;33,440018719999998;49,089887560000001;;town;
